,object number,count,frequency
299,134.1991.a-b,3,0.00024129333226091852
300,1457.2000,3,0.00024129333226091852
301,1086.1999,3,0.00024129333226091852
302,86.1947,3,0.00024129333226091852
303,515.1954,3,0.00024129333226091852
304,464.1951,3,0.00024129333226091852
305,680.1964.18,3,0.00024129333226091852
306,225.1987,3,0.00024129333226091852
307,587.1981,3,0.00024129333226091852
308,87.1998.1,3,0.00024129333226091852
309,22.1981.1-8,3,0.00024129333226091852
310,616.1949.5,3,0.00024129333226091852
311,524.1954.1-4,3,0.00024129333226091852
312,784.1964.18,3,0.00024129333226091852
313,983.1999,3,0.00024129333226091852
314,603.1981,3,0.00024129333226091852
315,990.1964.50,3,0.00024129333226091852
316,993.1964.31,3,0.00024129333226091852
317,464.1971.a-g,3,0.00024129333226091852
318,185.1958.1,3,0.00024129333226091852
319,sc2348.2001.a-c,3,0.00024129333226091852
320,619.1981,3,0.00024129333226091852
321,3.1995.2,3,0.00024129333226091852
322,343.1947.26,3,0.00024129333226091852
323,939.1964.39,3,0.00024129333226091852
324,584.1966.1,3,0.00024129333226091852
325,990.1964.55,3,0.00024129333226091852
326,977.1964.1,3,0.00024129333226091852
327,990.1964.57,3,0.00024129333226091852
328,226.1978.1-6,3,0.00024129333226091852
329,334.1969.4,3,0.00024129333226091852
330,2294.1967,3,0.00024129333226091852
331,680.1964.148,3,0.00024129333226091852
332,487.1992.2,3,0.00024129333226091852
333,1241.1968,3,0.00024129333226091852
334,868.1999,3,0.00024129333226091852
335,234.1937,3,0.00024129333226091852
336,414.1981.1-30,3,0.00024129333226091852
337,614.1977,3,0.00024129333226091852
338,145.1945.21,3,0.00024129333226091852
339,106.1957.1-2,3,0.00024129333226091852
340,687.1981,3,0.00024129333226091852
341,14.1945.14,3,0.00024129333226091852
342,1307.2001.1-5,3,0.00024129333226091852
343,412.1994,3,0.00024129333226091852
344,179.1985.8,3,0.00024129333226091852
345,158.1948,3,0.00024129333226091852
346,352.1939,3,0.00024129333226091852
347,556.1959,3,0.00024129333226091852
348,99.1989,3,0.00024129333226091852
349,134.1952,3,0.00024129333226091852
350,1186.1999,3,0.00024129333226091852
351,990.1964.82,3,0.00024129333226091852
352,433.1967,3,0.00024129333226091852
353,503.1967.11,3,0.00024129333226091852
354,437.1976,3,0.00024129333226091852
355,1085.1999,3,0.00024129333226091852
356,680.1964.2,3,0.00024129333226091852
357,187.1973.36,3,0.00024129333226091852
358,50.1958.6,3,0.00024129333226091852
359,844.1999,3,0.00024129333226091852
360,178.2001.1-6,3,0.00024129333226091852
361,908.1999.2,3,0.00024129333226091852
362,278.1948.1-20,3,0.00024129333226091852
363,469.1939,3,0.00024129333226091852
364,977.1964.13,3,0.00024129333226091852
365,912.1964.75,3,0.00024129333226091852
366,1099.1999,3,0.00024129333226091852
367,928.1965,3,0.00024129333226091852
368,14.1945.10,3,0.00024129333226091852
369,28.1993.1-25,3,0.00024129333226091852
370,441.1983.a-b,3,0.00024129333226091852
371,469.1982.40,3,0.00024129333226091852
372,3.1995.1,3,0.00024129333226091852
373,2.1942.22,3,0.00024129333226091852
374,373.1982,3,0.00024129333226091852
375,926.1964.11,3,0.00024129333226091852
376,784.1964.27,3,0.00024129333226091852
377,462.1983,3,0.00024129333226091852
378,685.1964.134,3,0.00024129333226091852
379,1514.2000,3,0.00024129333226091852
380,108.1996,3,0.00024129333226091852
381,202.1977.23,3,0.00024129333226091852
382,14.1945.1-23,3,0.00024129333226091852
383,926.1964.1-51,3,0.00024129333226091852
384,202.1988.a-c,3,0.00024129333226091852
385,185.1958.15,3,0.00024129333226091852
386,685.1964.10,3,0.00024129333226091852
387,176.1956,3,0.00024129333226091852
388,237.1994,3,0.00024129333226091852
389,120.1948.a-c,3,0.00024129333226091852
390,617.1987.49,3,0.00024129333226091852
391,648.1999,3,0.00024129333226091852
392,463.1975,3,0.00024129333226091852
393,1199.1999,3,0.00024129333226091852
394,575.1966.4a-i,3,0.00024129333226091852
395,450.1970.80,3,0.00024129333226091852
396,386.1988.1-12,3,0.00024129333226091852
397,913.1964.2,3,0.00024129333226091852
398,297.1999.1-3,3,0.00024129333226091852
399,577.1954,3,0.00024129333226091852
400,350.1996,3,0.00024129333226091852
401,71.1956.8,3,0.00024129333226091852
402,278.1948.19,3,0.00024129333226091852
403,912.1964.83,3,0.00024129333226091852
404,211.1956,3,0.00024129333226091852
405,858.1964.48,3,0.00024129333226091852
406,941.1964.76,3,0.00024129333226091852
407,374.1969,3,0.00024129333226091852
408,411.1981.1-15,3,0.00024129333226091852
409,155.1973.1-2,3,0.00024129333226091852
410,242.1937,3,0.00024129333226091852
411,233.1987,3,0.00024129333226091852
412,2247.1967,3,0.00024129333226091852
413,558.1959,3,0.00024129333226091852
414,197.1947,3,0.00024129333226091852
415,822.1999,3,0.00024129333226091852
416,923.1964.29,3,0.00024129333226091852
417,421.1994,3,0.00024129333226091852
418,992.1964.22,3,0.00024129333226091852
419,470.1970,3,0.00024129333226091852
420,343.1947.5,3,0.00024129333226091852
421,860.1979,3,0.00024129333226091852
422,405.1985,3,0.00024129333226091852
